time,open,high,low,close,tick_volume,spread,real_volume
2026-04-02 14:30:00,4614.83,4617.6,4592.93,4600.05,5593,4,0
2026-04-02 14:45:00,4600.05,4612.1,4596.2,4600.09,5489,4,0
2026-04-02 15:00:00,4600.12,4612.83,4594.59,4612.59,6396,4,0
2026-04-02 15:15:00,4612.59,4630.27,4609.58,4626.25,6243,4,0
2026-04-02 15:30:00,4626.25,4626.78,4615.78,4618.19,5714,4,0
2026-04-02 15:45:00,4618.25,4626.43,4600.45,4601.74,5954,4,0
2026-04-02 16:00:00,4601.94,4614.02,4580.75,4587.53,8828,4,0
2026-04-02 16:15:00,4587.53,4600.31,4581.09,4597.56,7762,4,0
2026-04-02 16:30:00,4597.56,4607.58,4586.18,4602.18,9681,4,0
2026-04-02 16:45:00,4602.18,4651.46,4600.64,4646.45,9039,4,0
2026-04-02 17:00:00,4646.45,4659.91,4631.52,4647.79,9359,4,0
2026-04-02 17:15:00,4647.79,4675.68,4645.86,4665.23,9584,4,0
2026-04-02 17:30:00,4665.23,4699.75,4659.04,4693.53,10626,4,0
2026-04-02 17:45:00,4693.37,4693.46,4672.64,4681.45,9764,4,0
2026-04-02 18:00:00,4681.45,4684.04,4667.6,4672.3,9341,4,0
2026-04-02 18:15:00,4672.3,4681.91,4658.08,4672.46,8529,4,0
2026-04-02 18:30:00,4672.46,4676.16,4662.25,4666.11,7497,4,0
2026-04-02 18:45:00,4666.11,4666.82,4652.62,4661.04,6862,4,0
2026-04-02 19:00:00,4661.03,4668.46,4647.87,4654.9,6899,4,0
2026-04-02 19:15:00,4654.9,4656.9,4643.03,4650.73,7018,4,0
2026-04-02 19:30:00,4650.73,4670.25,4650.49,4658.88,7084,4,0
2026-04-02 19:45:00,4658.88,4670.46,4656.77,4659.24,6426,4,0
2026-04-02 20:00:00,4659.22,4668.4,4656.32,4664.0,5641,4,0
2026-04-02 20:15:00,4664.0,4665.78,4651.27,4651.84,5893,4,0
2026-04-02 20:30:00,4651.91,4658.03,4646.19,4657.54,6065,4,0
2026-04-02 20:45:00,4657.54,4658.69,4645.77,4648.55,6099,4,0
2026-04-02 21:00:00,4648.55,4658.82,4647.38,4653.55,5057,4,0
